title,isbn,author_id,publication_year
Acts of war,9780006498452,19,1997
Operation Rainbow,9783453152892,19,1999
Patriot Games,9780833516435,19,1999
The Teeth of the Tiger,9780141004921,19,2004
The Hitchhiker´s Guide to the Galaxy,9780330508537,
